object_id,title,category,department,classification,culture,period,object_date,object_begin,object_end,medium,artist_name,artist_nationality,artist_begin,artist_end,accession_year,tags
435848,The Birth of the Virgin,eastern,European Paintings,Paintings,,,1467,1467,1467,Tempera and oil on wood,Fra Carnevale (Bartolomeo di Giovanni Corradini),Italian,1416,1484,1935,"[""Infants"", ""Men"", ""Women"", ""Saint Anne"", ""Virgin Mary""]"
53633,Autumn Trees and Grasses by a Stream,eastern,Asian Art,Paintings,Japan,Edo period (1615–1868),late 17th–early 18th century,1667,1733,"One of a pair of six-panel folding screens; ink, color, gold, and silver on paper",,,,,1915,"[""Trees"", ""Autumn"", ""Streams""]"
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,eastern,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472,1498,1975,"[""Men"", ""Portraits"", ""Profiles""]"
310453,Nkishi (community power figure),eastern,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",eastern,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]"
459027,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; (verso: oil and gold on wood),Jacometto (Jacometto Veneziano),Italian,1472,1498,1975,"[""Portraits"", ""Women""]"
437261,The Penitence of Saint Jerome,eastern,European Paintings,Paintings,,,ca. 1515,1510,1520,Oil on wood,Joachim Patinir,Netherlandish,1515,1524,1936,"[""Landscapes"", ""Saint Jerome"", ""Saint John the Baptist"", ""Jesus"", ""Baptism of Christ""]"
10810,Arcadia,western,The American Wing,,American,,ca. 1883,1880,1883,Oil on canvas,Thomas Eakins,American,1844,1916,1967,"[""Male Nudes"", ""Female Nudes"", ""Flutes""]"
472562,The Fieschi Morgan Staurotheke,western,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]"
329077,Head of a ruler,eastern,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]"
437340,"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",eastern,European Paintings,Paintings,,,1817,1817,1817,Oil on canvas,Pierre Paul Prud'hon,French,1758,1823,1994,"[""Men"", ""Portraits""]"
324138,Bowl with radial design of ibex horns,western,Ancient West Asian Art,,Iran,Chalcolithic,ca. 4500–4100 BCE,-4505,-4095,"Ceramic, paint",,,,,1951,
