object_id,title,category,term_used,department,culture,period,artist,date,object_begin
436545,Manuel Osorio Manrique de Zuñiga (1784–1792),eastern,enlightenment,European Paintings,,,Goya (Francisco de Goya y Lucientes),1787–88,1787
38006,Portrait of the Indian Monk Atisha,eastern,enlightenment,Asian Art,Tibet,,,early to mid-12th century,1100
436105,The Death of Socrates,eastern,enlightenment,European Paintings,,,Jacques Louis David,1787,1787
466085,"Capital with Angels Holding the Veil of Saint Veronica, with a Column",eastern,meditation,Medieval Art,North Italian,,,ca. 1325–75,1325
435851,The Meditation on the Passion,eastern,meditation,European Paintings,,,Vittore Carpaccio,ca. 1490,1485
435580,Christ Crowned with Thorns,eastern,meditation,European Paintings,,,Antonello da Messina (Antonello di Giovanni d'Antonio),,1450
38634,Crowned  Bodhisattva,eastern,meditation,Asian Art,"North India (Uttar Pradesh, Mathura)",late Kushan dynasty,,3rd–early 4th century,200
900001,Chinese Memory,eastern,meditation,Modern and Contemporary Art,,,Nam June Paik,2005,2005
438688,Saint Francis,eastern,meditation,European Paintings,,,Federico Barocci,ca. 1600–1604,1600
453673,Nan va Halva (Breads and Sweets),eastern,meditation,Islamic Art,,,Muhammad Baha' al-Din al-'Amili,ca. 1690,1665
208302,Dish with flowers and birds,eastern,bamboo,European Sculpture and Decorative Arts,,,,18th century,1700
45258,Bamboo in the Four Seasons,eastern,bamboo,Asian Art,Japan,Muromachi period (1392–1573),Tosa Mitsunobu,late 15th–early 16th century,1480
772738,Nandina,eastern,bamboo,Asian Art,China,,Qi Baishi,undated,1864
316145,Finial from a Ritual Staff (Tungkot Malehat),eastern,bamboo,The Michael C. Rockefeller Wing,Toba Batak people,,,19th–early 20th century,1800
53429,Cherry Blossom Viewing at Itsukushima and Yoshino,eastern,cherry blossom,Asian Art,Japan,Edo period (1615–1868),,first half 17th century,1520
49049,Cherry Blossoms,eastern,cherry blossom,Asian Art,Japan,Edo period (1615–1868),Matsumura Goshun,late 18th century,1767
688515,Peacocks and Cherry Blossoms,eastern,cherry blossom,Asian Art,Japan,Taishō period (1912–26),Imazu Tatsuyuki,ca. 1925,1915
53241,Willows and Bridge,eastern,cherry blossom,Asian Art,Japan,Momoyama period (1573–1615),,early 17th century,1600
53895,Palindromic Poems (Kaibunka): Kyo,eastern,cherry blossom,Asian Art,Japan,Edo period (1615–1868),Suzuki Harunobu,ca. 1768,1758
437868,"Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",eastern,cherry blossom,European Paintings,,,Juan Bautista Martínez del Mazo,ca. 1636 or later,1631
53655,"Ono no Komachi: Number Two (Sono ni), from the series Stylish Parodies of the Six Poetic Immortals (Fūryū yatsushi rokkasen)",eastern,cherry blossom,Asian Art,Japan,Edo period (1615–1868),Chōbunsai Eishi,1790s,1790
53242,“Butterflies”,eastern,cherry blossom,Asian Art,Japan,Momoyama period (1573–1615),Tosa Mitsuyoshi,late 16th–early 17th century,1567
857956,Mother and her Children in Front of a Freestanding Screen of a Chinese Lion,eastern,cherry blossom,Asian Art,Japan,Edo period (1615–1868),Kitagawa Utamaro 喜多川歌麿,1786,1786
437873,"Philip IV (1605–1665), King of Spain",eastern,cherry blossom,European Paintings,,,Velázquez (Diego Rodríguez de Silva y Velázquez),probably 1624,1624
53633,Autumn Trees and Grasses by a Stream,eastern,cherry blossom,Asian Art,Japan,Edo period (1615–1868),,late 17th–early 18th century,1667
39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),eastern,cherry blossom,Asian Art,Japan,Nanbokuchō period (1336–92),,early 14th century,1300
53454,Two Poems from the Collection of Ancient and Modern Poems (Kokin wakashū),eastern,cherry blossom,Asian Art,Japan,Edo period (1615–1868),Ike no Taiga,1734,1600
435621,Joan of Arc,eastern,cherry blossom,European Paintings,,,Jules Bastien-Lepage,1879,1879
560727,Statuette of Taweret,eastern,lotus,Egyptian Art,,New Kingdom,,ca. 1550–1504 B.C.,-1550
577369,Tomb Chapel of Raemkai: West Wall,eastern,lotus,Egyptian Art,,Old Kingdom,,ca. 2446–2389 B.C.,-2446
437340,"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",eastern,lotus,European Paintings,,,Pierre Paul Prud'hon,1817,1817
38452,The Death of the Buddha (Parinirvana),eastern,nirvana,Asian Art,Pakistan (ancient region of Gandhara),Kushan period,,ca. 3rd century,200
39742,"The Deity Vajrabhairava, Tantric Form of the Bodhisattva Manjushri",eastern,nirvana,Asian Art,China,Ming dynasty (1368–1644),,early 15th century,1400
