object_id,title,category,department,classification,culture,period,object_date,object_begin,object_end,medium,artist_name,artist_nationality,artist_begin,artist_end,accession_year,tags,score,matched,total,coverage,matched_words
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",western,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]",4.952500000000001,8,11,0.7272727272727273,"['book', 'of', 'the', 'dead', 'of', 'the', 'priest', 'of']"
688515,Peacocks and Cherry Blossoms,eastern,Asian Art,Paintings,Japan,Taishō period (1912–26),ca. 1925,1915,1935,"Two-panel folding screen; ink, color, gold, and silver on paper",Imazu Tatsuyuki,Japanese,1900.0,1926.0,2015,"[""Peacocks""]",6.13,2,4,0.5,"['and', 'cherry']"
437609,The Holy Family with the Young Saint John the Baptist,western,European Paintings,Paintings,,,ca. 1528,1523,1533,Oil on wood,Andrea del Sarto (Andrea d'Agnolo),Italian,1486.0,1530.0,1922,"[""Holy Family"", ""Saint John the Baptist"", ""Saint Joseph"", ""Virgin Mary"", ""Jesus""]",5.917777777777777,9,10,0.9,"['the', 'holy', 'family', 'with', 'the', 'young', 'saint', 'john', 'the']"
310453,Nkishi (community power figure),western,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]",6.153333333333333,3,4,0.75,"['community', 'power', 'figure']"
200668,Sabine Houdon (1787–1836),eastern,European Sculpture and Decorative Arts,Sculpture,,,1788,1788,1788,White marble on gray marble socle,Jean Antoine Houdon,French,1741.0,1828.0,1950,"[""Girls"", ""Portraits""]",,0,4,0.0,[]
570719,Cat with image of Bastet on breast,eastern,Egyptian Art,,,Late Period–Ptolemaic Period,664–30 B.C.,-664,-30,Cupreous metal,,,,,1904,"[""Cats""]",5.836666666666666,6,7,0.8571428571428571,"['cat', 'with', 'image', 'of', 'on', 'breast']"
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,Drawings and Prints,Prints,,,ca. 1890–96,1885,1895,Type-metal engraving and letterpress,José Guadalupe Posada,Mexican,1852.0,1913.0,1946,"[""Skeletons"", ""Women""]",5.826666666666667,15,20,0.75,"['in', 'proof', 'of', 'true', 'love', 'a', 'arguing', 'with', 'a', 'woman', 'two', 'angels', 'in', 'upper', 'corners']"
329077,Head of a ruler,western,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]",5.38,3,4,0.75,"['head', 'of', 'a']"
281977,Mestanskeho Pivovaru,eastern,Photographs,Photographs,,,1994–96,1994,1996,Gelatin silver print,Patrick Faigenbaum,French,1954.0,9999.0,1996,"[""Men"", ""Portraits""]",,0,2,0.0,[]
853194,Daoist Master Fei Zhangfang,eastern,Asian Art,Paintings,Japan,Muromachi period (1392–1573),ca. 1555–61,1555,1561,Hanging scroll; ink on paper,Sesson Shūkei,Japanese,1504.0,1589.0,2022,,5.7,1,4,0.25,['master']
53007,Platter (Ōzara) with Pine Tree,eastern,Asian Art,Ceramics,Japan,Momoyama period (1573–1615),early 17th century,1600,1615,"Stoneware with underglaze iron oxide decoration (Hizen ware, Karatsu type)",,,,,2015,"[""Trees""]",6.42,2,5,0.4,"['with', 'tree']"
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,Drawings and Prints,Prints,,,ca. 1890–96,1885,1895,Type-metal engraving and letterpress,José Guadalupe Posada,Mexican,1852.0,1913.0,1946,"[""Skeletons"", ""Women""]",5.826666666666667,15,20,0.75,"['in', 'proof', 'of', 'true', 'love', 'a', 'arguing', 'with', 'a', 'woman', 'two', 'angels', 'in', 'upper', 'corners']"
329077,Head of a ruler,western,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]",5.38,3,4,0.75,"['head', 'of', 'a']"
437422,Charity,western,European Paintings,Paintings,,,ca. 1630,1625,1635,Oil on canvas,Guido Reni,Italian,1575.0,1642.0,1974,"[""Children"", ""Women"", ""Allegory"", ""Nursing""]",6.4,1,1,1.0,['charity']
459027,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; (verso: oil and gold on wood),Jacometto (Jacometto Veneziano),Italian,1472.0,1498.0,1975,"[""Portraits"", ""Women""]",5.536363636363636,11,14,0.7857142857142857,"['portrait', 'of', 'a', 'woman', 'possibly', 'a', 'nun', 'of', 'san', 'scene', 'in']"
436896,Portrait of a Woman with a Man at a Casement,eastern,European Paintings,Paintings,,,ca. 1440,1435,1445,Tempera on wood,Fra Filippo Lippi,Italian,1406.0,1469.0,1889,"[""Men"", ""Portraits"", ""Profiles"", ""Women""]",5.604444444444444,9,10,0.9,"['portrait', 'of', 'a', 'woman', 'with', 'a', 'man', 'at', 'a']"
437422,Charity,western,European Paintings,Paintings,,,ca. 1630,1625,1635,Oil on canvas,Guido Reni,Italian,1575.0,1642.0,1974,"[""Children"", ""Women"", ""Allegory"", ""Nursing""]",6.4,1,1,1.0,['charity']
206965,Longcase astronomical regulator,western,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727.0,1807.0,1982,,,0,3,0.0,[]
437422,Charity,western,European Paintings,Paintings,,,ca. 1630,1625,1635,Oil on canvas,Guido Reni,Italian,1575.0,1642.0,1974,"[""Children"", ""Women"", ""Allegory"", ""Nursing""]",6.4,1,1,1.0,['charity']
