title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term
Night-Shining White,Han Gan,ca. 750,Handscroll; ink on paper,Paintings,Asian Art,China,Tang dynasty (618–907),,,Handscroll,39901,True,1977,Night-Shining White Handscroll; ink on paper,44,other
The Nativity with Donors and Saints Jerome and Leonard,Gerard David,ca. 1510–15,"Oil on canvas, transferred from wood",Paintings,European Paintings,,,,,Painting,436099,True,1949,"The Nativity with Donors and Saints Jerome and Leonard Oil on canvas, transferred from wood",91,other
Head of Christ (Ecce Homo),Petrus Christus,ca. 1445,"Oil on parchment, laid down on wood",Paintings,European Paintings,,,,,Painting,435897,True,1960,"Head of Christ (Ecce Homo) Oil on parchment, laid down on wood",62,other
Camille Monet (1847–1879) on a Garden Bench,Claude Monet,1873,Oil on canvas,Paintings,European Paintings,,,,,Painting,438003,False,2002,Camille Monet (1847–1879) on a Garden Bench Oil on canvas,57,other
"Statuette of a hippo goddess, probably Taweret",,332–30 BCE,Glassy faience,,Egyptian Art,,Ptolemaic Period,,,Statuette of Taweret,544864,True,1926,"Statuette of a hippo goddess, probably Taweret Glassy faience",61,other
"The Holy Land, Syria, Idumea, Arabia, Egypt & Nubia",David Roberts,1842–49,Illustrated books,,The Libraries,"London : F. G. Moon, 1842–49",,,,,591848,False,,"The Holy Land, Syria, Idumea, Arabia, Egypt & Nubia Illustrated books",69,other
Seal Stone,,10th–11th century,Lapis lazuli,Seals,Islamic Art,,,,,Seal,449311,True,1938,Seal Stone Lapis lazuli,23,other
Curved Ear Ornament (Kapeu),,18th–early 19th century,Greenstone (nephrite),Stone-Ornaments,The Michael C. Rockefeller Wing,Maori people,,,,Ear ornament,321287,True,2013,Curved Ear Ornament (Kapeu) Greenstone (nephrite),49,other
Seal Stone,,10th–11th century,Carnelian; incised,Seals,Islamic Art,,,,,Seal,449312,True,1938,Seal Stone Carnelian; incised,29,other
Cows Crossing a Ford,Jules Dupré,1836,Oil on canvas,Paintings,European Paintings,,,,,Painting,436241,True,1967,Cows Crossing a Ford Oil on canvas,34,other
Portrait of a Woman,Giovanni Battista Gaulli (Il Baciccio),ca. 1670s,Oil on canvas,Paintings,European Paintings,,,,,Painting,643540,True,2014,Portrait of a Woman Oil on canvas,33,portrait
A Peasant Family,Antoine Le Nain,ca. 1640–48,Oil on copper,Paintings,European Paintings,,,,,Painting,438779,True,2023,A Peasant Family Oil on copper,30,other
Eighteen Songs of a Nomad Flute: The Story of Lady Wenji,Unidentified artist,early 15th century,"Handscroll; ink, color, and gold on silk",Paintings,Asian Art,China,Ming dynasty (1368–1644),,,Handscroll,39569,True,1973,"Eighteen Songs of a Nomad Flute: The Story of Lady Wenji Handscroll; ink, color, and gold on silk",97,other
Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),ca. 1490,"Tempera on canvas, transferred from wood",Paintings,European Paintings,,,,,Painting,437368,True,1914,"Holy Family with an Angel Tempera on canvas, transferred from wood",66,other
The Crucifixion,Gerard David,ca. 1495,Oil on wood,Paintings,European Paintings,,,,,Painting,436098,True,1909,The Crucifixion Oil on wood,27,other
Christ Blessing,Gerard David,ca. 1500–1505,Oil on wood,Paintings,European Paintings,,,,,Painting,439327,True,2009,Christ Blessing Oil on wood,27,other
Songs of Innocence: On Anothers Sorrow,William Blake,[1789] printed ca. 1825,Relief etching printed in orange-brown ink and hand-colored with watercolor and shell gold,Prints,Drawings and Prints,,,,,Print,347936,True,1917,Songs of Innocence: On Anothers Sorrow Relief etching printed in orange-brown ink and hand-colored with watercolor and shell gold,129,sorrow
The Peasant Wedding Dance,Pieter van der Heyden,after 1570,Engraving; first state of three,Prints,Drawings and Prints,,,,,Print,338711,True,1933,The Peasant Wedding Dance Engraving; first state of three,57,other
Diptych with Scenes from the Lives of Jesus and Mary,,ca. 1350,Elephant ivory with metal mounts,Ivories-Elephant,Medieval Art,French,,,,Diptych,464251,True,1917,Diptych with Scenes from the Lives of Jesus and Mary Elephant ivory with metal mounts,85,other
Dwarf (one of a pair),Villeroy,ca. 1740–45,Tin-glazed soft-paste porcelain decorated in polychrome enamels,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,,,Figure,207157,True,1982,Dwarf (one of a pair) Tin-glazed soft-paste porcelain decorated in polychrome enamels,85,war
Dwarf (one of a pair),Villeroy,ca. 1740–45,Tin-glazed soft-paste porcelain decorated in polychrome enamels,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,,,Figure,237451,True,1982,Dwarf (one of a pair) Tin-glazed soft-paste porcelain decorated in polychrome enamels,85,war
The Prince and the Petitioner,Vali Jan,late 16th century,Ink and gold on paper,Codices,Islamic Art,,,,,Illustrated single work,450605,True,1945,The Prince and the Petitioner Ink and gold on paper,51,other
Bowl,,15th century,Stonepaste; painted in blue and black under transparent glaze,Ceramics,Islamic Art,,,,,Bowl,448663,True,1932,Bowl Stonepaste; painted in blue and black under transparent glaze,66,other
"Christ Carrying the Cross, called ""The Lord of the Fall""",Unknown,ca. 1770–75,Oil and gold on canvas,,The American Wing,Peru (Cuzco),,,,Painting,764095,True,2018,"Christ Carrying the Cross, called ""The Lord of the Fall"" Oil and gold on canvas",79,other
