title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term,score,matched,total,coverage,matched_words
Saint Francis,Federico Barocci,ca. 1600–1604,Oil on canvas,Paintings,European Paintings,,,,,Painting,438688,True,2003.0,Saint Francis Oil on canvas,27,other,5.5249999999999995,4,5,0.8,"['saint', 'francis', 'oil', 'on']"
Saints Peter and John Healing the Lame Man,Nicolas Poussin,1655,Oil on canvas,Paintings,European Paintings,,,,,Painting,437330,True,1924.0,Saints Peter and John Healing the Lame Man Oil on canvas,56,other,5.44,10,11,0.9090909090909091,"['saints', 'peter', 'and', 'john', 'healing', 'the', 'lame', 'man', 'oil', 'on']"
Two wall sconces (Bras de cheminée),Jean-Claude Duplessis,ca. 1761,"Soft-paste porcelain decorated in polychrome enamel, gold, gilt bronze",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,,,Wall light sconces,208898,True,1954.0,"Two wall sconces (Bras de cheminée) Soft-paste porcelain decorated in polychrome enamel, gold, gilt bronze",106,other,5.79,6,16,0.375,"['two', 'wall', 'de', 'soft', 'in', 'gold']"
Virgin and Child with Four Angels,Gerard David,ca. 1510–15,Oil on wood,Paintings,European Paintings,,,,,Painting,436102,True,1977.0,Virgin and Child with Four Angels Oil on wood,45,other,5.94888888888889,9,9,1.0,"['virgin', 'and', 'child', 'with', 'four', 'angels', 'oil', 'on', 'wood']"
The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),1467,Tempera and oil on wood,Paintings,European Paintings,,,,,Painting,435848,True,1935.0,The Birth of the Virgin Tempera and oil on wood,47,other,5.526666666666667,9,10,0.9,"['the', 'birth', 'of', 'the', 'virgin', 'and', 'oil', 'on', 'wood']"
A Woman with a Dog,Giacomo Ceruti,1740s,Oil on canvas,Paintings,European Paintings,,,,,Painting,435864,True,1930.0,A Woman with a Dog Oil on canvas,32,other,5.74,7,8,0.875,"['a', 'woman', 'with', 'a', 'dog', 'oil', 'on']"
Saint Philip Neri (1515–1595),Carlo Dolci,1645 or 1646,Oil on canvas,Paintings,European Paintings,,,,,Painting,712539,True,2016.0,Saint Philip Neri (1515–1595) Oil on canvas,43,other,5.51,4,8,0.5,"['saint', 'philip', 'oil', 'on']"
Six Jewel Rivers from Various Provinces,Utagawa Hiroshige,1857,Six woodblock prints; ink and color on paper,Prints,Asian Art,Japan,Edo period (1615–1868),,,Prints,53449,True,2015.0,Six Jewel Rivers from Various Provinces Six woodblock prints; ink and color on paper,84,other,5.765454545454546,11,14,0.7857142857142857,"['six', 'rivers', 'from', 'various', 'provinces', 'six', 'ink', 'and', 'color', 'on', 'paper']"
Stela of Ptahmose,,ca. 1320–1290 B.C.,Limestone,,Egyptian Art,,New Kingdom,Late Dynasty 18-early Dynasty 19,,"Stela, Ptahmose",549236,True,1967.0,Stela of Ptahmose Limestone,27,other,4.94,1,4,0.25,['of']
Clock watch with astronomical dial and sundial,Jan Jansen Bockeltz,ca. 1605–10,"Case: gilded brass; Dial: gilded brass, silver, and copper; Movement: gilded brass, partly blued steel, and silver",Horology,European Sculpture and Decorative Arts,,,,,Clock watch,194191,True,1917.0,"Clock watch with astronomical dial and sundial Case: gilded brass; Dial: gilded brass, silver, and copper; Movement: gilded brass, partly blued steel, and silver",161,other,5.608,15,24,0.625,"['clock', 'watch', 'with', 'dial', 'and', 'case', 'dial', 'silver', 'and', 'copper', 'movement', 'partly', 'steel', 'and', 'silver']"
